model,raw_f1,scaled_f1,difference
naive_bayes,0.7702467790209239,0.7912754787260103,0.021028699705086473
knn,0.8185052627137628,0.8773942908400777,0.05888902812631491
decision_tree,0.8320957361650214,0.820168074302836,-0.011927661862185412
random_forest,0.8948949646736246,0.8868425943382967,-0.008052370335327907
gradient_boosting,0.8854743688758513,0.8894927632859281,0.0040183944100767865
xgboost,0.8832831010230244,0.8803335432356564,-0.002949557787368051
