model,raw_f1,scaled_feature_selection_f1,difference
naive_bayes,0.7702467790209239,0.8423552647190695,0.07210848569814565
knn,0.8185052627137628,0.8514374362550654,0.03293217354130262
decision_tree,0.8320957361650214,0.8158433360964878,-0.016252400068533568
random_forest,0.8948949646736246,0.881971934475273,-0.012923030198351615
gradient_boosting,0.8854743688758513,0.879477205512749,-0.005997163363102298
xgboost,0.8832831010230244,0.8755971414599504,-0.007685959563074052
