model,raw_f1,scaled_pca_f1,difference
naive_bayes,0.7702467790209239,0.8270772591018369,0.05683048008091307
knn,0.8185052627137628,0.8786383496541209,0.06013308694035813
decision_tree,0.8320957361650214,0.8097931433400287,-0.022302592824992695
random_forest,0.8948949646736246,0.864083302712876,-0.030811661960748582
gradient_boosting,0.8854743688758513,0.8770067070287233,-0.008467661847127994
xgboost,0.8832831010230244,0.890309893793637,0.007026792770612578
