feature,f_score,p_value
app_LT_TKEO_mean_5_coef,55.79648067895548,2.8452008974443063e-13
f2,55.5553588920945,3.183188287058679e-13
app_LT_entropy_shannon_2_coef,55.396861531791394,3.427035300774203e-13
app_LT_TKEO_std_4_coef,55.262533553540074,3.64832732435405e-13
tqwt_maxValue_dec_14,55.13103958330312,3.8788423640511865e-13
tqwt_entropy_log_dec_27,54.87025486984765,4.380179163679991e-13
app_entropy_log_6_coef,54.79331348230687,4.5401652724887617e-13
tqwt_TKEO_std_dec_11,54.664777646465126,4.820628402726259e-13
app_LT_entropy_shannon_1_coef,54.64756238285631,4.859489839289838e-13
app_entropy_log_9_coef,54.6424514839042,4.871087527402654e-13
app_entropy_log_8_coef,54.63197858203335,4.894939594560865e-13
app_entropy_log_10_coef,54.592834756486724,4.985132627634147e-13
app_entropy_log_7_coef,54.5724132541463,5.032847078225678e-13
RPDE,53.94864510026412,6.733677939425481e-13
tqwt_entropy_log_dec_11,53.23957753021843,9.379026814061774e-13
tqwt_TKEO_std_dec_14,53.08242525123654,1.0094328070286174e-12
std_5th_delta_delta,53.05395783167223,1.0229643684135388e-12
app_det_TKEO_mean_3_coef,52.909454183376766,1.0945126911725507e-12
tqwt_entropy_log_dec_15,52.829092419961526,1.1364547175264607e-12
tqwt_TKEO_std_dec_15,52.35098021797097,1.4215620995893277e-12
VFER_entropy,52.35044985397117,1.4219152832650436e-12
app_LT_entropy_log_9_coef,51.63498219639881,1.9884315395740907e-12
app_LT_entropy_log_8_coef,51.633419375709245,1.9898895727757177e-12
app_LT_entropy_log_10_coef,51.63124767811675,1.991917439860789e-12
app_LT_TKEO_std_3_coef,51.59738356044522,2.0238085281252103e-12
std_4th_delta_delta,51.53150100995598,2.0873289083371388e-12
app_entropy_log_5_coef,51.27985007487863,2.3489404755573587e-12
tqwt_entropy_log_dec_26,51.270310212184675,2.3594811394677914e-12
DFA,51.15122710255528,2.4951233031310792e-12
std_4th_delta,50.737162163953016,3.030700125779999e-12
app_LT_TKEO_mean_4_coef,50.703902627640936,3.078430161023696e-12
tqwt_entropy_log_dec_35,50.36039426204729,3.617798428670447e-12
tqwt_stdValue_dec_8,50.2128385726736,3.877721675960671e-12
std_5th_delta,49.546981661199155,5.304641159687272e-12
tqwt_energy_dec_16,49.27684964080289,6.0243668233897196e-12
app_TKEO_std_3_coef,49.13581853085054,6.4382910163421814e-12
tqwt_entropy_log_dec_34,48.70098613851494,7.903136108075906e-12
tqwt_entropy_log_dec_7,48.36753971526489,9.24955133355153e-12
tqwt_kurtosisValue_dec_36,48.32995305837174,9.41509493624874e-12
std_delta_log_energy,47.850528852020375,1.1807013841780257e-11
std_12th_delta,47.473191081868585,1.4111878436429754e-11
tqwt_energy_dec_13,46.82970877731378,1.9133053313193157e-11
VFER_mean,46.82580907262445,1.916840417849735e-11
tqwt_energy_dec_14,46.12321273938068,2.6737533692642155e-11
app_LT_entropy_log_7_coef,45.989521396084626,2.8486981151700406e-11
tqwt_energy_dec_12,45.957848397218726,2.891801620165659e-11
std_MFCC_8th_coef,45.51500808879555,3.567799541582296e-11
app_entropy_log_4_coef,45.2262883862641,4.0918932028264254e-11
app_LT_TKEO_std_2_coef,44.927603195473964,4.7156182819687715e-11
tqwt_entropy_log_dec_17,44.831216335750206,4.9366195830882854e-11
tqwt_entropy_log_dec_14,44.467791800971824,5.867630867832258e-11
app_TKEO_std_2_coef,44.35195366927753,6.199981073652375e-11
meanPeriodPulses,44.16979661374359,6.761266729185935e-11
app_LT_entropy_log_6_coef,44.03706092887563,7.202162287327835e-11
std_MFCC_6th_coef,43.90303200094804,7.67666304930131e-11
tqwt_entropy_log_dec_8,43.61259337384267,8.81544890545636e-11
minIntensity,43.1847730338222,1.0809252838387883e-10
tqwt_entropy_log_dec_28,42.96629150395594,1.199629662318514e-10
tqwt_TKEO_std_dec_13,42.81283439743221,1.2907526368223918e-10
tqwt_energy_dec_11,42.78660402572375,1.3070098715769204e-10
tqwt_maxValue_dec_15,42.285027369680805,1.6606541909664034e-10
app_LT_TKEO_mean_3_coef,42.02927938269815,1.876501860255599e-10
tqwt_minValue_dec_15,41.61028513254437,2.2927372120795157e-10
tqwt_TKEO_std_dec_16,41.33374851193384,2.6170935043268734e-10
tqwt_stdValue_dec_10,40.84115314437038,3.3133225693734726e-10
tqwt_stdValue_dec_9,40.58846713785537,3.739861336477862e-10
tqwt_entropy_log_dec_6,40.55509359833194,3.800175485412473e-10
tqwt_TKEO_mean_dec_11,39.76629806777838,5.548404757303864e-10
app_det_TKEO_mean_2_coef,39.632259295050325,5.917327868417085e-10
app_entropy_log_3_coef,38.47775463560051,1.031006908416235e-09
meanIntensity,38.115461981326625,1.2275966719856374e-09
tqwt_stdValue_dec_6,37.927382503636565,1.3440851042025878e-09
tqwt_kurtosisValue_dec_35,37.22202937444298,1.888966037612028e-09
std_3rd_delta_delta,36.92690732566132,2.178367594277304e-09
tqwt_minValue_dec_10,36.48173778167864,2.7014066510559666e-09
tqwt_entropy_log_dec_9,36.13413940848233,3.196165426938361e-09
meanHarmToNoiseHarmonicity,35.979032752925946,3.44539873753926e-09
tqwt_maxValue_dec_10,35.964863087446005,3.4691185744475832e-09
std_MFCC_7th_coef,35.93156333901364,3.5255097740552796e-09
app_LT_TKEO_std_1_coef,35.53688155774629,4.2683667811841805e-09
tqwt_maxValue_dec_16,34.624702060412154,6.644571579893808e-09
app_entropy_log_2_coef,34.598559522035806,6.729478415710176e-09
tqwt_TKEO_mean_dec_14,34.520121924658675,6.990830414214546e-09
std_3rd_delta,34.22474193363437,8.069928836435049e-09
GNE_SNR_SEO,34.03299893161112,8.858508230236299e-09
tqwt_maxValue_dec_7,33.583735679649536,1.102310022816013e-08
tqwt_TKEO_mean_dec_12,33.54126364187123,1.1253421416676856e-08
tqwt_minValue_dec_7,33.456469920336666,1.1727815587995252e-08
tqwt_minValue_dec_16,33.31949155158271,1.2536995976760689e-08
tqwt_kurtosisValue_dec_20,33.31293360332653,1.257711372170587e-08
