model,raw_f1_macro,scaled_feature_selection_f1_macro,difference
naive_bayes,0.5527634311494272,0.394370043316984,-0.15839338783244317
knn,0.7396302438611212,0.733926148011301,-0.005704095849820234
decision_tree,0.7343843590944102,0.7327291453699887,-0.001655213724421567
random_forest,0.8172679198663533,0.8202485292622692,0.002980609395915934
gradient_boosting,0.7750346407948903,0.7719996494709855,-0.0030349913239047233
xgboost,0.8247079004237271,0.8208380315585606,-0.0038698688651664925
