model,raw_f1_macro,scaled_f1_macro,difference
naive_bayes,0.5527634311494272,0.3748390382104516,-0.17792439293897555
knn,0.7396302438611212,0.7279644197073972,-0.01166582415372397
decision_tree,0.7343843590944102,0.733887032651142,-0.0004973264432682756
random_forest,0.8172679198663533,0.8175393761542512,0.00027145628789793097
gradient_boosting,0.7750346407948903,0.774875106454158,-0.00015953434073223693
xgboost,0.8247079004237271,0.8247079004237271,0.0
